MolprovityPHI,MolprovityPSI,MolprovityRegion
-43,-51,0
-43,-50,0
-43,-49,0
-43,-48,0
-43,-47,0
-43,-46,0
-43,-45,0
-43,-44,0
-43,-43,0
-44,134,0
-44,-54,0
-44,-53,0
-44,-52,0
-44,-51,0
-44,-50,0
-44,-49,0
-44,-48,0
-44,-47,0
-44,-46,0
-44,-45,0
-44,-44,0
-44,-43,0
-44,-42,0
-44,-41,0
-44,-40,0
-44,-39,0
-44,-38,0
-44,129,0
-44,130,0
-44,131,0
-44,132,0
-44,133,0
-45,-45,0
-45,-55,0
-45,-54,0
-45,-53,0
-45,-52,0
-45,-51,0
-45,-50,0
-45,-49,0
-45,-48,0
-45,-47,0
-45,-46,0
-45,-44,0
-45,-43,0
-45,-42,0
-45,-41,0
-45,-40,0
-45,-39,0
-45,-38,0
-45,-37,0
-45,-36,0
-45,-35,0
-45,126,0
-45,127,0
-45,128,0
-45,129,0
-45,130,0
-45,131,0
-45,132,0
-45,133,0
-45,134,0
-45,135,0
-45,136,0
-45,137,0
-46,-55,0
-46,-57,0
-46,-56,0
-46,-54,0
-46,-53,0
-46,-52,0
-46,-51,0
-46,-50,0
-46,-49,0
-46,-48,0
-46,-47,0
-46,-46,0
-46,-45,0
-46,-44,0
-46,-43,0
-46,-42,0
-46,-41,0
-46,-40,0
-46,-39,0
-46,-38,0
-46,-37,0
-46,-36,0
-46,-35,0
-46,-34,0
-46,-33,0
-46,-32,0
-46,125,0
-46,126,0
-46,127,0
-46,128,0
-46,129,0
-46,130,0
-46,131,0
-46,132,0
-46,133,0
-46,134,0
-46,135,0
-46,136,0
-46,137,0
-46,138,0
-47,137,0
-47,-57,0
-47,-56,0
-47,-55,0
-47,-54,0
-47,-53,0
-47,-52,0
-47,-51,0
-47,-50,0
-47,-49,0
-47,-48,0
-47,-47,0
-47,-46,0
-47,-45,0
-47,-44,0
-47,-43,0
-47,-42,0
-47,-41,0
-47,-40,0
-47,-39,0
-47,-38,0
-47,-37,0
-47,-36,0
-47,-35,0
-47,-34,0
-47,-33,0
-47,-32,0
-47,-31,0
-47,-30,0
-47,123,0
-47,124,0
-47,125,0
-47,126,0
-47,127,0
-47,128,0
-47,129,0
